Fecha,emisions,IGAE,CETES28d
01/08/2004,204267895,76.2107,7.21
01/09/2004,206880141,76.2472,7.36
01/10/2004,208334058,76.4454,7.76
01/11/2004,211655448,77.1217,8.2
01/12/2004,215204504,77.0889,8.5
01/01/2005,214817977,77.1408,8.6
01/02/2005,208462496,77.2664,9.15
01/03/2005,209389792,76.9268,9.41
01/04/2005,205876051,77.3277,9.63
01/05/2005,205688230,77.4907,9.75
01/06/2005,211270017,76.8819,9.63
01/07/2005,216491887,77.1127,9.61
01/08/2005,216540303,78.143,9.6
01/09/2005,226267993,78.526,9.21
01/10/2005,231472864,78.7701,8.91
01/11/2005,229403870,79.475,8.71
01/12/2005,229249774,79.9524,8.22
01/01/2006,225670310,81.4196,7.88
01/02/2006,238473211,80.5917,7.61
01/03/2006,226800318,80.7043,7.37
01/04/2006,226687133,81.1212,7.17
01/05/2006,230102263,81.9783,7.02
01/06/2006,235035623,81.8235,7.02
01/07/2006,231564325,81.8285,7.03
01/08/2006,233112775,81.9866,7.03
01/09/2006,245990112,81.9786,7.06
01/10/2006,249099843,82.1747,7.05
01/11/2006,251620373,81.9598,7.04
01/12/2006,273876818,82.3006,7.04
01/01/2007,266491814,82.4108,7.04
01/02/2007,267736763,82.4337,7.04
01/03/2007,268778828,82.9076,7.04
01/04/2007,277149351,83.2994,7.01
01/05/2007,274521054,83.4623,7.24
01/06/2007,272398363,83.8193,7.2
01/07/2007,280177248,83.6743,7.19
01/08/2007,283267359,83.8934,7.2
01/09/2007,285196757,84.0379,7.21
01/10/2007,288982859,83.9244,7.2
01/11/2007,308251366,83.5787,7.44
01/12/2007,320762037,83.6401,7.44
01/01/2008,324485930,84.1268,7.42
01/02/2008,329143535,84.2793,7.43
01/03/2008,337122237,83.1298,7.43
01/04/2008,349523298,84.6667,7.44
01/05/2008,349126553,84.2374,7.44
01/06/2008,366301715,84.9241,7.56
01/07/2008,373852076,84.8776,7.93
01/08/2008,373300979,83.9161,8.18
01/09/2008,380108203,83.6632,8.17
01/10/2008,361177906,83.7855,7.74
01/11/2008,359581490,82.6209,7.43
01/12/2008,362752239,81.7078,8.02
01/01/2009,360512857,78.1627,7.59
01/02/2009,354427844,77.8458,7.12
01/03/2009,356561781,77.6465,7.03
01/04/2009,346891889,77.0136,6.05
01/05/2009,336181247,76.6227,5.29
01/06/2009,352218180,77.8134,4.98
01/07/2009,368955501,79.2998,4.59
01/08/2009,368508694,79.0775,4.49
01/09/2009,362782142,79.6595,4.48
01/10/2009,369689810,80.2639,4.51
01/11/2009,378602816,81.0922,4.51
01/12/2009,384293808,81.524,4.5
01/01/2010,385621743,80.8666,4.49
01/02/2010,383854952,81.5009,4.49
01/03/2010,394219602,82.0958,4.45
01/04/2010,388318132,83.0191,4.44
01/05/2010,388243430,82.8682,4.52
01/06/2010,387009904,82.8149,4.59
01/07/2010,400217269,83.1451,4.6
01/08/2010,392287332,83.2573,4.52
01/09/2010,389906052,83.5585,4.43
01/10/2010,400415024,83.4913,4.03
01/11/2010,413400919,83.6586,3.97
01/12/2010,408105306,84.3796,4.3
01/01/2011,402547787,84.5448,4.14
01/02/2011,403479425,84.6552,4.04
01/03/2011,405271542,85.1948,4.27
01/04/2011,416668766,84.394,4.28
01/05/2011,420912658,85.4935,4.31
01/06/2011,426129328,85.8813,4.37
01/07/2011,424520313,86.1459,4.14
01/08/2011,426693078,86.8426,4.05
01/09/2011,434609971,86.9193,4.23
01/10/2011,441553889,86.9831,4.36
