ByM_lag0,ByM_lag1,ByM_lag2,i_lag0,y_lag0,inpc_lag0,i_lag1,y_lag1,inpc_lag1
449821.289,395512.706,368270.537,7.07,90.1092,62.692424,7.04,89.5941,62.331857
409947.749,449821.289,395512.706,7.03,90.0203,63.016208,7.07,90.1092,62.692424
399603.547,409947.749,449821.289,7.03,90.3067,63.192347,7.03,90.0203,63.016208
409813.851,399603.547,409947.749,7.03,90.4702,63.329113,7.03,90.3067,63.192347
400645.809,409813.851,399603.547,7.06,91.0416,63.291295,7.03,90.4702,63.329113
407228.336,400645.809,409813.851,7.29,91.5106,62.982534,7.06,91.0416,63.291295
408726.848,407228.336,400645.809,7.27,91.9045,63.05817,7.29,91.5106,62.982534
408166.585,408726.848,407228.336,7.28,91.8725,63.326005,7.27,91.9045,63.05817
410822.206,408166.585,408726.848,7.27,91.7755,63.583996,7.28,91.8725,63.326005
412441.187,410822.206,408166.585,7.24,92.2773,64.077703,7.27,91.7755,63.583996
417007.796,412441.187,410822.206,7.27,92.5183,64.327405,7.24,92.2773,64.077703
431863.49,417007.796,412441.187,7.5,91.8636,64.781221,7.27,92.5183,64.327405
494743.458,431863.49,417007.796,7.53,91.8631,65.049056,7.5,91.8636,64.781221
459689.002,494743.458,431863.49,7.52,92.3761,65.350564,7.53,91.8631,65.049056
447828.092,459689.002,494743.458,7.5,92.3289,65.544834,7.52,92.3761,65.350564
447711.242,447828.092,459689.002,7.5,91.5102,66.019891,7.5,92.3289,65.544834
445503.346,447711.242,447828.092,7.5,92.9724,66.170127,7.5,91.5102,66.019891
451301.896,445503.346,447711.242,7.5,92.6821,66.098635,7.5,92.9724,66.170127
447614.269,451301.896,445503.346,7.6,93.6163,66.372168,7.5,92.6821,66.098635
463302.998,447614.269,451301.896,7.86,93.3808,66.742059,7.6,93.6163,66.372168
462796.94,463302.998,447614.269,8.12,92.3562,67.127492,7.86,93.3808,66.742059
458615.354,462796.94,463302.998,8.25,92.0424,67.584935,8.12,92.3562,67.127492
477702.485,458615.354,462796.94,7.75,92.6784,68.045486,8.25,92.0424,67.584935
504670.542,477702.485,458615.354,7.93,91.0312,68.818942,7.75,92.6784,68.045486
577542.277,504670.542,477702.485,8.25,89.7445,69.295552,7.93,91.0312,68.818942
548576.456,577542.277,504670.542,7.99,86.8516,69.456149,8.25,89.7445,69.295552
539231.506,548576.456,577542.277,7.68,86.5814,69.609494,7.99,86.8516,69.456149
533819.278,539231.506,548576.456,7.22,86.2644,70.00995,7.68,86.5814,69.609494
537331.41,533819.278,539231.506,6.39,85.4831,70.25499,7.22,86.2644,70.00995
536606.477,537331.41,533819.278,5.58,85.0576,70.050358,6.39,85.4831,70.25499
531629.602,536606.477,537331.41,5.06,86.4634,70.179354,5.58,85.0576,70.050358
541061.603,531629.602,536606.477,4.65,87.8967,70.370516,5.06,86.4634,70.179354
529495.386,541061.603,531629.602,4.49,87.5344,70.538884,4.65,87.8967,70.370516
524785.931,529495.386,541061.603,4.51,87.9265,70.892716,4.49,87.5344,70.538884
534520.513,524785.931,529495.386,4.52,88.8282,71.107191,4.51,87.9265,70.892716
547652.896,534520.513,524785.931,4.58,89.4517,71.476046,4.52,88.8282,71.107191
631937.88,547652.896,534520.513,4.59,89.6228,71.771855,4.58,89.4517,71.476046
600421.918,631937.88,547652.896,4.58,89.8312,72.552046,4.59,89.6228,71.771855
584170.708,600421.918,631937.88,4.64,90.2295,72.971671,4.58,89.8312,72.552046
597193.947,584170.708,600421.918,4.56,91.231,73.489725,4.64,90.2295,72.971671
574362.947,597193.947,584170.708,4.6,91.3211,73.255565,4.56,91.231,73.489725
582623.188,574362.947,597193.947,4.6,91.4287,72.793978,4.6,91.3211,73.255565
577815.451,582623.188,574362.947,4.59,91.4716,72.771183,4.6,91.4287,72.793978
593182.402,577815.451,582623.188,4.61,91.7704,72.92919,4.59,91.4716,72.771183
584119.067,593182.402,577815.451,4.6,92.0554,73.13175,4.61,91.7704,72.92919
588091.817,584119.067,593182.402,4.56,92.4296,73.51511,4.6,92.0554,73.13175
590029.643,588091.817,584119.067,4.52,92.4747,73.968926,4.56,92.4296,73.51511
605690.05,590029.643,588091.817,4.56,92.5885,74.561581,4.52,92.4747,73.968926
693423.114,605690.05,590029.643,4.61,93.2531,74.930954,4.56,92.5885,74.561581
648030.446,693423.114,605690.05,4.55,93.3945,75.295991,4.61,93.2531,74.930954
638281.57,648030.446,693423.114,4.52,93.6473,75.57846,4.55,93.3945,75.295991
634711.772,638281.57,648030.446,4.49,94.067,75.723451,4.52,93.6473,75.57846
645582.013,634711.772,638281.57,4.5,93.508,75.717441,4.49,94.067,75.723451
637597.245,645582.013,634711.772,4.47,94.5045,75.159264,4.5,93.508,75.717441
635323.256,637597.245,645582.013,4.49,95.0408,75.155508,4.47,94.5045,75.159264
645656.105,635323.256,637597.245,4.47,95.5203,75.516107,4.49,95.0408,75.155508
635301.021,645656.105,635323.256,4.44,96.054,75.635555,4.47,95.5203,75.516107
643273.709,635301.021,645656.105,4.37,96.1868,75.821113,4.44,96.054,75.635555
651531.413,643273.709,635301.021,4.37,96.2353,76.332712,4.37,96.1868,75.821113
675504.053,651531.413,643273.709,4.41,97.1517,77.158333,4.37,96.2353,76.332712
763490.94,675504.053,651531.413,4.5,96.7848,77.792385,4.41,97.1517,77.158333
724693.774,763490.94,675504.053,4.48,97.3429,78.343049,4.5,96.7848,77.792385
711443.511,724693.774,763490.94,4.5,97.5562,78.502314,4.48,97.3429,78.343049
723848.484,711443.511,724693.774,4.5,97.8808,78.547389,4.5,97.5562,78.502314
732243.958,723848.484,711443.511,4.48,98.3784,78.30098,4.5,97.8808,78.547389
742959.467,732243.958,723848.484,4.51,97.7299,78.053819,4.48,98.3784,78.30098
748818.171,742959.467,732243.958,4.49,98.6033,78.413667,4.51,97.7299,78.053819
747220.613,748818.171,742959.467,4.48,99.1944,78.853897,4.49,98.6033,78.413667
737859.785,747220.613,748818.171,4.49,98.6659,79.09054,4.48,99.1944,78.853897
728580.289,737859.785,747220.613,4.5,98.946,79.439119,4.49,98.6659,79.09054
